Metric,CV_Mean,CV_Std,Final_Model
Overall Accuracy,0.6723422523840378,0.028052500269411387,0.7517938083790578
Known Class Accuracy,0.6845298969674368,0.027161002380137935,0.7552239356259967
Unknown Detection Rate,0.1381010101010101,0.06909133439528854,0.0
Macro F1,0.567503479717165,0.031003821942026933,0.6270595975153203
Weighted F1,0.6486866473599987,0.03269229478691305,0.7322275171624234
