hidden_dims,alpha,distance_type,tailsize,epochs,batch_size,lr,patience,mean_score,std_score,time
"[64, 32]",10,euclidean,10,50,256,0.001,10,0.7248251377475932,0.021846481795527544,29664.839877843857
"[64, 32]",10,euclidean,30,50,256,0.001,10,0.7310504795611467,0.021788805282809662,2236.764270067215
"[64, 32]",10,cosine,10,50,256,0.001,10,0.741713212779641,0.0007997284887606286,2023.217844247818
"[64, 32]",10,cosine,30,50,256,0.001,10,0.7440166264558266,0.0016246577744813428,1869.9696941375732
"[256, 128, 64]",10,euclidean,10,50,256,0.001,10,0.7272078766780379,0.031019078442423468,2641.828341960907
"[256, 128, 64]",10,euclidean,30,50,256,0.001,10,0.7219684290281224,0.0305402749034883,2727.40900850296
"[256, 128, 64]",10,cosine,10,50,256,0.001,10,0.7457613078159733,0.001155264754583001,2751.6262362003326
"[256, 128, 64]",10,cosine,30,50,256,0.001,10,0.6531617749348035,0.18799959555766857,2901.2991304397583
